epoch,Training Loss,Validation Loss
1,1.9540894031524658,1.9543111324310303
2,1.9539767503738403,1.954190731048584
3,1.953864574432373,1.954072117805481
4,1.9537568092346191,1.9539580345153809
5,1.9536488056182861,1.9538452625274658
6,1.9535408020019531,1.9537312984466553
7,1.9534335136413574,1.9536205530166626
8,1.9533265829086304,1.953510046005249
9,1.9532208442687988,1.9534003734588623
10,1.9531184434890747,1.9532941579818726
11,1.95301353931427,1.9531852006912231
12,1.9529101848602295,1.9530755281448364
13,1.9528095722198486,1.9529708623886108
14,1.9527091979980469,1.9528661966323853
15,1.9526079893112183,1.9527605772018433
16,1.9525099992752075,1.9526586532592773
17,1.952409029006958,1.9525537490844727
18,1.952306866645813,1.9524474143981934
19,1.9522055387496948,1.9523427486419678
20,1.9521076679229736,1.9522408246994019
21,1.9520103931427002,1.9521392583847046
22,1.9519082307815552,1.9520329236984253
23,1.9518048763275146,1.9519267082214355
24,1.9517050981521606,1.951823115348816
25,1.9516030550003052,1.9517161846160889
26,1.9515039920806885,1.9516128301620483
27,1.9514007568359375,1.9515043497085571
28,1.9513003826141357,1.9513994455337524
29,1.9511970281600952,1.9512912034988403
30,1.9510960578918457,1.9511858224868774
31,1.950990915298462,1.951076626777649
32,1.950891137123108,1.9509732723236084
33,1.950790524482727,1.9508686065673828
34,1.9506829977035522,1.9507566690444946
35,1.950576663017273,1.950644612312317
36,1.9504729509353638,1.9505366086959839
37,1.9503693580627441,1.9504276514053345
38,1.9502618312835693,1.950314998626709
39,1.9501575231552124,1.95020592212677
40,1.950052261352539,1.9500962495803833
41,1.9499502182006836,1.949988842010498
42,1.9498469829559326,1.949880599975586
43,1.949744462966919,1.9497731924057007
44,1.9496432542800903,1.9496667385101318
45,1.9495415687561035,1.9495601654052734
46,1.9494389295578003,1.9494524002075195
47,1.9493383169174194,1.9493480920791626
48,1.9492384195327759,1.9492439031600952
49,1.9491387605667114,1.9491382837295532
50,1.9490349292755127,1.9490305185317993
51,1.9489338397979736,1.9489248991012573
52,1.9488328695297241,1.9488184452056885
53,1.9487292766571045,1.9487087726593018
54,1.9486271142959595,1.9486020803451538
55,1.9485172033309937,1.9484868049621582
56,1.948403000831604,1.9483673572540283
57,1.9482907056808472,1.9482485055923462
58,1.9481816291809082,1.9481347799301147
59,1.9480708837509155,1.9480211734771729
60,1.9479602575302124,1.9479069709777832
61,1.9478530883789062,1.9477962255477905
62,1.947744369506836,1.9476839303970337
63,1.9476438760757446,1.9475797414779663
64,1.9475412368774414,1.9474729299545288
65,1.9474451541900635,1.9473735094070435
66,1.947349190711975,1.9472742080688477
67,1.947252869606018,1.9471734762191772
68,1.9471598863601685,1.9470769166946411
69,1.9470698833465576,1.9469841718673706
70,1.9469786882400513,1.9468904733657837
71,1.9468910694122314,1.946799874305725
72,1.9468042850494385,1.9467101097106934
73,1.9467183351516724,1.946621298789978
74,1.9466336965560913,1.946533203125
75,1.946549415588379,1.946447491645813
76,1.946466088294983,1.9463616609573364
77,1.9463834762573242,1.9462764263153076
78,1.9463016986846924,1.9461922645568848
79,1.9462205171585083,1.9461071491241455
80,1.9461368322372437,1.946021556854248
81,1.9460591077804565,1.9459401369094849
82,1.9459787607192993,1.945857048034668
83,1.9459000825881958,1.9457752704620361
84,1.9458223581314087,1.9456948041915894
85,1.945744514465332,1.945614218711853
86,1.9456665515899658,1.9455326795578003
87,1.945586919784546,1.9454506635665894
88,1.945508360862732,1.9453684091567993
89,1.9454314708709717,1.945288896560669
90,1.945351004600525,1.9452037811279297
91,1.9452723264694214,1.9451212882995605
92,1.9451926946640015,1.9450379610061646
93,1.9451158046722412,1.9449584484100342
94,1.945035696029663,1.944875955581665
95,1.9449572563171387,1.9447946548461914
96,1.9448773860931396,1.9447126388549805
97,1.9447999000549316,1.944631576538086
98,1.9447208642959595,1.9445500373840332
99,1.9446420669555664,1.9444684982299805
100,1.944563865661621,1.9443882703781128
101,1.9444842338562012,1.94430673122406
102,1.9444042444229126,1.944223403930664
103,1.9443238973617554,1.9441406726837158
104,1.9442434310913086,1.9440557956695557
105,1.9441642761230469,1.9439733028411865
106,1.9440829753875732,1.9438889026641846
107,1.9440034627914429,1.9438064098358154
108,1.943924903869629,1.9437248706817627
109,1.9438425302505493,1.9436397552490234
110,1.9437605142593384,1.9435549974441528
111,1.9436794519424438,1.9434726238250732
112,1.943598747253418,1.9433892965316772
113,1.9435136318206787,1.9433032274246216
114,1.9434312582015991,1.9432191848754883
115,1.943346381187439,1.9431315660476685
116,1.943261742591858,1.9430452585220337
117,1.9431787729263306,1.9429616928100586
118,1.94309663772583,1.9428777694702148
119,1.9430091381072998,1.9427889585494995
120,1.9429265260696411,1.9427038431167603
121,1.942840814590454,1.9426175355911255
122,1.942754864692688,1.942530870437622
123,1.9426687955856323,1.9424432516098022
124,1.9425833225250244,1.9423565864562988
125,1.9425005912780762,1.9422736167907715
126,1.942417860031128,1.9421898126602173
127,1.9423357248306274,1.9421067237854004
128,1.9422507286071777,1.9420208930969238
129,1.942169189453125,1.941937804222107
130,1.9420857429504395,1.9418542385101318
131,1.942001461982727,1.9417681694030762
132,1.9419219493865967,1.9416871070861816
133,1.9418392181396484,1.941602110862732
134,1.9417598247528076,1.9415215253829956
135,1.9416812658309937,1.9414403438568115
136,1.9415972232818604,1.9413539171218872
137,1.9415160417556763,1.941271185874939
138,1.9414360523223877,1.9411901235580444
139,1.9413561820983887,1.9411083459854126
140,1.94127357006073,1.9410234689712524
141,1.9411929845809937,1.940940499305725
142,1.941110610961914,1.9408563375473022
143,1.9410266876220703,1.9407700300216675
144,1.940943717956543,1.9406853914260864
145,1.9408631324768066,1.9406026601791382
146,1.9407752752304077,1.9405139684677124
147,1.9406934976577759,1.9404296875
148,1.9406123161315918,1.9403468370437622
149,1.9405295848846436,1.9402613639831543
150,1.9404484033584595,1.9401777982711792
151,1.9403650760650635,1.9400920867919922
152,1.9402837753295898,1.940009593963623
153,1.940199613571167,1.9399242401123047
154,1.940119981765747,1.9398417472839355
155,1.9400365352630615,1.9397568702697754
156,1.9399529695510864,1.939671516418457
157,1.9398679733276367,1.939583420753479
158,1.9397809505462646,1.9394935369491577
159,1.9396957159042358,1.939406394958496
160,1.939611554145813,1.9393194913864136
161,1.9395312070846558,1.9392383098602295
162,1.939443588256836,1.9391489028930664
163,1.9393606185913086,1.939063549041748
164,1.9392741918563843,1.9389750957489014
165,1.9391907453536987,1.9388890266418457
166,1.9391028881072998,1.9387993812561035
167,1.9390169382095337,1.9387106895446777
168,1.938932180404663,1.938624382019043
169,1.9388478994369507,1.9385370016098022
170,1.9387611150741577,1.938447117805481
171,1.9386723041534424,1.9383559226989746
172,1.938584804534912,1.9382680654525757
173,1.9384981393814087,1.9381781816482544
174,1.9384046792984009,1.9380826950073242
175,1.938315749168396,1.937990427017212
176,1.9382249116897583,1.937897801399231
177,1.9381362199783325,1.937807321548462
178,1.938050627708435,1.9377192258834839
179,1.937963604927063,1.9376293420791626
180,1.9378771781921387,1.9375404119491577
181,1.9377895593643188,1.9374504089355469
182,1.9376955032348633,1.9373549222946167
183,1.9376046657562256,1.9372620582580566
184,1.9375133514404297,1.9371682405471802
185,1.93742036819458,1.9370731115341187
186,1.9373281002044678,1.936978816986084
187,1.9372341632843018,1.9368830919265747
188,1.9371421337127686,1.9367883205413818
189,1.937049150466919,1.9366939067840576
190,1.9369533061981201,1.9365955591201782
191,1.9368610382080078,1.9365020990371704
192,1.9367685317993164,1.9364086389541626
193,1.9366724491119385,1.9363102912902832
194,1.9365794658660889,1.9362156391143799
195,1.9364835023880005,1.9361170530319214
196,1.9363898038864136,1.936021089553833
197,1.9362951517105103,1.9359232187271118
198,1.9361971616744995,1.9358214139938354
199,1.9361019134521484,1.9357248544692993
200,1.9360058307647705,1.9356263875961304
201,1.935907244682312,1.9355252981185913
202,1.9358073472976685,1.9354242086410522
203,1.9357119798660278,1.935327172279358
204,1.935613989830017,1.935227394104004
205,1.9355121850967407,1.9351229667663574
206,1.935412049293518,1.9350203275680542
207,1.935312032699585,1.9349192380905151
208,1.9352126121520996,1.9348167181015015
209,1.9351129531860352,1.9347147941589355
210,1.9350124597549438,1.9346132278442383
211,1.9349113702774048,1.9345108270645142
212,1.9348115921020508,1.9344080686569214
213,1.934707760810852,1.9343031644821167
214,1.9346047639846802,1.9341976642608643
215,1.934497356414795,1.9340884685516357
216,1.9343891143798828,1.9339770078659058
217,1.934281587600708,1.933867335319519
218,1.9341760873794556,1.9337618350982666
219,1.9340693950653076,1.9336552619934082
220,1.933961272239685,1.9335452318191528
221,1.9338558912277222,1.9334383010864258
222,1.9337480068206787,1.9333293437957764
223,1.933638095855713,1.9332172870635986
224,1.9335283041000366,1.9331071376800537
225,1.933417558670044,1.9329959154129028
226,1.933307409286499,1.932884693145752
227,1.9331977367401123,1.9327733516693115
228,1.9330880641937256,1.9326608180999756
229,1.9329735040664673,1.9325448274612427
230,1.9328577518463135,1.9324284791946411
231,1.9327449798583984,1.9323147535324097
232,1.9326304197311401,1.9321999549865723
233,1.9325144290924072,1.9320836067199707
234,1.932401180267334,1.9319690465927124
235,1.9322866201400757,1.931853175163269
236,1.9321726560592651,1.9317388534545898
237,1.9320582151412964,1.931622862815857
238,1.9319413900375366,1.9315040111541748
239,1.9318251609802246,1.931387186050415
240,1.9317073822021484,1.9312679767608643
241,1.9315905570983887,1.9311504364013672
242,1.9314665794372559,1.931025505065918
243,1.9313445091247559,1.9309020042419434
244,1.9312260150909424,1.930782675743103
245,1.931104063987732,1.9306600093841553
246,1.9309840202331543,1.9305393695831299
247,1.9308632612228394,1.9304192066192627
248,1.930742859840393,1.930298089981079
249,1.9306179285049438,1.930172085762024
250,1.9304903745651245,1.9300438165664673
251,1.9303656816482544,1.929918885231018
252,1.9302377700805664,1.9297895431518555
253,1.930110216140747,1.9296616315841675
254,1.9299813508987427,1.9295328855514526
255,1.9298486709594727,1.9293992519378662
256,1.9297165870666504,1.92926824092865
257,1.9295880794525146,1.9291393756866455
258,1.9294546842575073,1.9290063381195068
259,1.9293240308761597,1.9288749694824219
260,1.9291905164718628,1.9287421703338623
261,1.9290542602539062,1.928605556488037
262,1.9289188385009766,1.9284703731536865
263,1.9287861585617065,1.9283382892608643
264,1.928645372390747,1.9281994104385376
265,1.9285061359405518,1.9280610084533691
266,1.9283679723739624,1.9279221296310425
267,1.9282326698303223,1.9277853965759277
268,1.9280943870544434,1.9276494979858398
269,1.9279530048370361,1.92750883102417
270,1.9278132915496826,1.9273709058761597
271,1.927671194076538,1.927229404449463
272,1.9275282621383667,1.9270869493484497
273,1.9273881912231445,1.9269462823867798
274,1.9272421598434448,1.9268035888671875
275,1.9270987510681152,1.9266610145568848
276,1.926952838897705,1.9265162944793701
277,1.926802396774292,1.9263666868209839
278,1.9266520738601685,1.9262166023254395
279,1.9265062808990479,1.926072359085083
280,1.9263554811477661,1.925923228263855
281,1.9262055158615112,1.9257736206054688
282,1.9260579347610474,1.9256271123886108
283,1.9259079694747925,1.925478458404541
284,1.9257502555847168,1.9253212213516235
285,1.9255914688110352,1.9251643419265747
286,1.9254330396652222,1.9250075817108154
287,1.9252771139144897,1.924852728843689
288,1.925122857093811,1.924699306488037
289,1.9249637126922607,1.9245402812957764
290,1.9248019456863403,1.924379825592041
291,1.9246432781219482,1.9242230653762817
292,1.9244800806045532,1.9240626096725464
293,1.9243175983428955,1.9239022731781006
294,1.9241507053375244,1.9237382411956787
295,1.9239835739135742,1.923573613166809
296,1.923818588256836,1.9234085083007812
297,1.9236507415771484,1.9232431650161743
298,1.9234788417816162,1.9230750799179077
299,1.92331063747406,1.9229079484939575
300,1.9231359958648682,1.9227356910705566
301,1.9229662418365479,1.9225671291351318
302,1.9227938652038574,1.922396183013916
303,1.922621250152588,1.9222259521484375
304,1.922439694404602,1.92204749584198
305,1.9222583770751953,1.9218684434890747
306,1.9220845699310303,1.9216957092285156
307,1.9219049215316772,1.9215186834335327
308,1.9217252731323242,1.9213414192199707
309,1.921543836593628,1.9211620092391968
310,1.9213624000549316,1.9209822416305542
311,1.9211788177490234,1.9208006858825684
312,1.9209908246994019,1.9206160306930542
313,1.9208002090454102,1.9204277992248535
314,1.9206098318099976,1.9202401638031006
315,1.9204182624816895,1.9200514554977417
316,1.920230746269226,1.9198652505874634
317,1.9200319051742554,1.9196707010269165
318,1.9198343753814697,1.9194756746292114
319,1.9196369647979736,1.919282078742981
320,1.9194388389587402,1.9190865755081177
321,1.919245719909668,1.9188965559005737
322,1.9190475940704346,1.9187029600143433
323,1.9188450574874878,1.9185045957565308
324,1.9186480045318604,1.9183106422424316
325,1.9184428453445435,1.9181102514266968
326,1.9182337522506714,1.917904019355774
327,1.9180231094360352,1.917697787284851
328,1.9178129434585571,1.9174929857254028
329,1.917605996131897,1.9172898530960083
330,1.9173941612243652,1.9170831441879272
331,1.9171779155731201,1.9168715476989746
332,1.916960597038269,1.9166581630706787
333,1.9167429208755493,1.9164446592330933
334,1.916517734527588,1.9162256717681885
335,1.9162908792495728,1.9160032272338867
336,1.9160650968551636,1.9157837629318237
337,1.9158364534378052,1.9155604839324951
338,1.9156067371368408,1.9153356552124023
339,1.91537606716156,1.9151102304458618
340,1.9151396751403809,1.9148790836334229
341,1.9149048328399658,1.9146488904953003
342,1.9146628379821777,1.914412498474121
343,1.9144258499145508,1.9141813516616821
344,1.9141892194747925,1.9139492511749268
345,1.9139453172683716,1.9137122631072998
346,1.913699984550476,1.9134734869003296
347,1.913456916809082,1.913233995437622
348,1.9132120609283447,1.912995457649231
349,1.9129550457000732,1.9127460718154907
350,1.912706732749939,1.9125033617019653
351,1.9124538898468018,1.9122567176818848
352,1.912195086479187,1.9120057821273804
353,1.9119348526000977,1.9117510318756104
354,1.9116742610931396,1.9114978313446045
355,1.9114102125167847,1.9112406969070435
356,1.9111438989639282,1.9109816551208496
357,1.9108740091323853,1.9107201099395752
358,1.9105993509292603,1.9104541540145874
359,1.9103277921676636,1.9101899862289429
360,1.9100394248962402,1.9099122285842896
361,1.9097586870193481,1.9096404314041138
362,1.9094783067703247,1.9093676805496216
363,1.9091906547546387,1.9090898036956787
364,1.9089014530181885,1.9088096618652344
365,1.9086129665374756,1.9085307121276855
366,1.9083247184753418,1.908250093460083
367,1.9080320596694946,1.907964825630188
368,1.9077318906784058,1.9076743125915527
369,1.9074296951293945,1.9073817729949951
370,1.9071241617202759,1.9070863723754883
371,1.9068171977996826,1.9067896604537964
372,1.906508207321167,1.9064894914627075
373,1.9061928987503052,1.9061850309371948
374,1.9058758020401,1.9058774709701538
375,1.9055532217025757,1.905564308166504
376,1.9052337408065796,1.9052541255950928
377,1.9049044847488403,1.9049346446990967
378,1.9045709371566772,1.9046131372451782
379,1.9042381048202515,1.904289960861206
380,1.9038952589035034,1.9039585590362549
381,1.903548002243042,1.9036228656768799
382,1.9031965732574463,1.9032855033874512
383,1.9028512239456177,1.902951717376709
384,1.9024920463562012,1.9026074409484863
385,1.9021466970443726,1.9022718667984009
386,1.9017884731292725,1.9019263982772827
387,1.9014281034469604,1.90157949924469
388,1.9010556936264038,1.9012200832366943
389,1.9006874561309814,1.9008655548095703
390,1.900317668914795,1.9005076885223389
391,1.8999427556991577,1.900146245956421
392,1.899567723274231,1.8997845649719238
393,1.899183750152588,1.8994133472442627
394,1.898796796798706,1.8990399837493896
395,1.8984040021896362,1.8986619710922241
396,1.8980125188827515,1.898283839225769
397,1.8976179361343384,1.8979028463363647
398,1.8972164392471313,1.8975168466567993
399,1.8968051671981812,1.8971205949783325
400,1.896395206451416,1.896726131439209
401,1.8959814310073853,1.8963279724121094
402,1.8955614566802979,1.8959236145019531
403,1.8951386213302612,1.8955174684524536
404,1.894709825515747,1.8951059579849243
405,1.8942819833755493,1.8946952819824219
406,1.8938443660736084,1.894275188446045
407,1.8934035301208496,1.8938510417938232
408,1.8929606676101685,1.8934259414672852
409,1.8925155401229858,1.89299738407135
410,1.8920581340789795,1.8925588130950928
411,1.8915960788726807,1.8921148777008057
412,1.8911350965499878,1.891672134399414
413,1.8906612396240234,1.8912180662155151
414,1.890187382698059,1.8907634019851685
415,1.8897134065628052,1.8903087377548218
416,1.8892329931259155,1.8898481130599976
417,1.8887455463409424,1.889380931854248
418,1.888248324394226,1.8889050483703613
419,1.8877525329589844,1.8884283304214478
420,1.8872456550598145,1.8879417181015015
421,1.8867422342300415,1.8874567747116089
422,1.8862183094024658,1.8869564533233643
423,1.8856877088546753,1.8864492177963257
424,1.8851526975631714,1.8859374523162842
425,1.8846098184585571,1.8854186534881592
426,1.8840752840042114,1.8849060535430908
427,1.8835269212722778,1.8843801021575928
428,1.8829700946807861,1.8838484287261963
429,1.8824125528335571,1.8833154439926147
430,1.881849765777588,1.8827766180038452
431,1.881284475326538,1.8822351694107056
432,1.880706787109375,1.8816834688186646
433,1.8801226615905762,1.881124496459961
434,1.8795377016067505,1.880565881729126
435,1.8789384365081787,1.8799940347671509
436,1.8783409595489502,1.8794231414794922
437,1.8777316808700562,1.8788410425186157
438,1.8771346807479858,1.8782684803009033
439,1.8765109777450562,1.8776752948760986
